category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.NE,1668,30,False,30,10,5,25,26.02,cs.NE_mcs30_nn30_nc10_ms5
cs.NE,1668,30,False,30,10,10,26,25.3,cs.NE_mcs30_nn30_nc10_ms10
cs.DC,1826,30,False,10,5,5,19,18.67,cs.DC_mcs30_nn10_nc5_ms5
cs.DC,1826,30,False,10,5,10,19,21.8,cs.DC_mcs30_nn10_nc5_ms10
cs.DC,1826,30,False,10,10,5,18,22.45,cs.DC_mcs30_nn10_nc10_ms5
cs.DC,1826,30,False,10,10,10,19,22.45,cs.DC_mcs30_nn10_nc10_ms10
cs.DC,1826,30,False,15,5,5,20,18.4,cs.DC_mcs30_nn15_nc5_ms5
cs.DC,1826,30,False,15,5,10,19,18.07,cs.DC_mcs30_nn15_nc5_ms10
cs.DC,1826,30,False,15,10,5,19,20.1,cs.DC_mcs30_nn15_nc10_ms5
cs.DC,1826,30,False,15,10,10,19,21.8,cs.DC_mcs30_nn15_nc10_ms10
cs.DC,1826,30,False,30,5,5,20,17.96,cs.DC_mcs30_nn30_nc5_ms5
cs.DC,1826,30,False,30,5,10,20,17.63,cs.DC_mcs30_nn30_nc5_ms10
cs.DC,1826,30,False,30,10,5,22,19.11,cs.DC_mcs30_nn30_nc10_ms5
cs.DC,1826,30,False,30,10,10,20,20.26,cs.DC_mcs30_nn30_nc10_ms10
cs.CR,1517,30,False,10,5,5,16,25.51,cs.CR_mcs30_nn10_nc5_ms5
cs.CR,1517,30,False,10,5,10,16,26.3,cs.CR_mcs30_nn10_nc5_ms10
cs.CR,1517,30,False,15,10,10,15,22.94,cs.CR_mcs30_nn15_nc10_ms10
cs.CR,1517,30,False,30,5,5,17,19.58,cs.CR_mcs30_nn30_nc5_ms5
cs.CR,1517,30,False,30,10,5,17,18.0,cs.CR_mcs30_nn30_nc10_ms5
cs.CR,1517,30,False,30,10,10,17,21.42,cs.CR_mcs30_nn30_nc10_ms10
cs.CR,1517,37,True,30,10,5,15,20.11,cs.CR_mcs37_nn30_nc10_ms5
cs.AI,2060,30,False,10,5,5,29,17.33,cs.AI_mcs30_nn10_nc5_ms5
cs.AI,2060,30,False,10,5,10,27,12.28,cs.AI_mcs30_nn10_nc5_ms10
cs.AI,2060,30,False,10,10,5,27,14.56,cs.AI_mcs30_nn10_nc10_ms5
cs.AI,2060,30,False,10,10,10,27,15.24,cs.AI_mcs30_nn10_nc10_ms10
cs.AI,2060,30,False,15,5,5,30,14.85,cs.AI_mcs30_nn15_nc5_ms5
cs.AI,2060,30,False,15,5,10,31,13.45,cs.AI_mcs30_nn15_nc5_ms10
cs.AI,2060,30,False,15,10,5,31,12.86,cs.AI_mcs30_nn15_nc10_ms5
cs.AI,2060,30,False,15,10,10,27,11.31,cs.AI_mcs30_nn15_nc10_ms10
cs.AI,2060,30,False,30,5,5,29,24.85,cs.AI_mcs30_nn30_nc5_ms5
cs.AI,2060,30,False,30,5,10,29,25.15,cs.AI_mcs30_nn30_nc5_ms10
cs.AI,2060,30,False,30,10,5,28,21.99,cs.AI_mcs30_nn30_nc10_ms5
cs.AI,2060,30,False,30,10,10,26,18.11,cs.AI_mcs30_nn30_nc10_ms10
cs.AI,2060,50,False,10,5,5,17,19.03,cs.AI_mcs50_nn10_nc5_ms5
cs.AI,2060,50,False,10,5,10,17,19.03,cs.AI_mcs50_nn10_nc5_ms10
cs.AI,2060,50,False,10,10,5,17,23.54,cs.AI_mcs50_nn10_nc10_ms5
cs.AI,2060,50,False,10,10,10,15,14.22,cs.AI_mcs50_nn10_nc10_ms10
cs.AI,2060,50,False,15,5,5,17,22.09,cs.AI_mcs50_nn15_nc5_ms5
cs.AI,2060,50,False,15,5,10,17,21.17,cs.AI_mcs50_nn15_nc5_ms10
cs.AI,2060,50,False,15,10,5,18,17.04,cs.AI_mcs50_nn15_nc10_ms5
cs.AI,2060,50,False,15,10,10,18,17.04,cs.AI_mcs50_nn15_nc10_ms10
cs.AI,2060,50,False,30,10,5,16,34.03,cs.AI_mcs50_nn30_nc10_ms5
cs.AI,2060,50,False,30,10,10,15,31.26,cs.AI_mcs50_nn30_nc10_ms10
cs.AI,2060,51,True,10,5,5,17,19.03,cs.AI_mcs51_nn10_nc5_ms5
cs.AI,2060,51,True,10,5,10,17,19.03,cs.AI_mcs51_nn10_nc5_ms10
cs.AI,2060,51,True,10,10,5,17,23.54,cs.AI_mcs51_nn10_nc10_ms5
cs.AI,2060,51,True,10,10,10,15,14.22,cs.AI_mcs51_nn10_nc10_ms10
cs.AI,2060,51,True,15,5,5,17,22.09,cs.AI_mcs51_nn15_nc5_ms5
cs.AI,2060,51,True,15,5,10,17,21.17,cs.AI_mcs51_nn15_nc5_ms10
cs.AI,2060,51,True,15,10,5,18,17.04,cs.AI_mcs51_nn15_nc10_ms5
cs.AI,2060,51,True,15,10,10,18,17.04,cs.AI_mcs51_nn15_nc10_ms10
cs.AI,2060,51,True,30,10,5,15,36.46,cs.AI_mcs51_nn30_nc10_ms5
cs.LG,1937,30,False,10,5,5,23,25.92,cs.LG_mcs30_nn10_nc5_ms5
cs.LG,1937,30,False,10,5,10,23,26.12,cs.LG_mcs30_nn10_nc5_ms10
cs.LG,1937,30,False,10,10,5,23,19.57,cs.LG_mcs30_nn10_nc10_ms5
cs.LG,1937,30,False,10,10,10,23,20.55,cs.LG_mcs30_nn10_nc10_ms10
cs.LG,1937,30,False,15,5,5,23,30.1,cs.LG_mcs30_nn15_nc5_ms5
cs.LG,1937,30,False,15,5,10,23,30.3,cs.LG_mcs30_nn15_nc5_ms10
cs.LG,1937,30,False,15,10,5,24,19.82,cs.LG_mcs30_nn15_nc10_ms5
cs.LG,1937,30,False,15,10,10,24,21.12,cs.LG_mcs30_nn15_nc10_ms10
cs.LG,1937,30,False,30,5,5,22,30.67,cs.LG_mcs30_nn30_nc5_ms5
cs.LG,1937,30,False,30,5,10,22,30.3,cs.LG_mcs30_nn30_nc5_ms10
cs.LG,1937,30,False,30,10,5,24,20.7,cs.LG_mcs30_nn30_nc10_ms5
cs.LG,1937,30,False,30,10,10,25,21.42,cs.LG_mcs30_nn30_nc10_ms10
cs.LG,1937,48,True,10,5,5,15,26.64,cs.LG_mcs48_nn10_nc5_ms5
