n_components,mean_trustworthiness,mean_silhouette,mean_noise_pct,mean_n_clusters
2,0.9064348033788148,0.599455201625824,30.890836850294875,84.8
5,0.9398408589753128,0.630957055091858,35.29959507369544,84.0
10,0.9426769960013495,0.6207494378089905,36.29474620785565,82.6
15,0.9425522247400705,0.5985395312309265,34.03218074112906,81.2
20,0.942453817727982,0.6184209823608399,35.7256323488291,83.2
