category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.AI,7369,184,True,30,5,10,4,18.69,cs.AI_mcs184_nn30_nc5_ms10
cs.AI,7369,184,True,30,10,5,8,23.73,cs.AI_mcs184_nn30_nc10_ms5
cs.AI,7369,184,True,30,10,10,9,30.98,cs.AI_mcs184_nn30_nc10_ms10
cs.AI,7369,200,False,10,5,5,2,0.53,cs.AI_mcs200_nn10_nc5_ms5
cs.AI,7369,200,False,10,5,10,2,2.06,cs.AI_mcs200_nn10_nc5_ms10
cs.AI,7369,200,False,10,10,5,11,34.78,cs.AI_mcs200_nn10_nc10_ms5
cs.AI,7369,200,False,10,10,10,8,31.44,cs.AI_mcs200_nn10_nc10_ms10
cs.AI,7369,200,False,15,5,5,11,33.52,cs.AI_mcs200_nn15_nc5_ms5
cs.AI,7369,200,False,15,5,10,5,20.8,cs.AI_mcs200_nn15_nc5_ms10
cs.AI,7369,200,False,15,10,5,8,26.98,cs.AI_mcs200_nn15_nc10_ms5
cs.AI,7369,200,False,15,10,10,6,25.09,cs.AI_mcs200_nn15_nc10_ms10
cs.AI,7369,200,False,30,5,5,8,35.08,cs.AI_mcs200_nn30_nc5_ms5
cs.AI,7369,200,False,30,5,10,4,18.69,cs.AI_mcs200_nn30_nc5_ms10
cs.AI,7369,200,False,30,10,5,2,7.31,cs.AI_mcs200_nn30_nc10_ms5
cs.AI,7369,200,False,30,10,10,9,30.98,cs.AI_mcs200_nn30_nc10_ms10
cs.LG,10746,30,False,10,5,5,94,25.39,cs.LG_mcs30_nn10_nc5_ms5
cs.LG,10746,30,False,10,5,10,81,26.81,cs.LG_mcs30_nn10_nc5_ms10
cs.LG,10746,30,False,10,10,5,83,23.57,cs.LG_mcs30_nn10_nc10_ms5
cs.LG,10746,30,False,10,10,10,80,28.23,cs.LG_mcs30_nn10_nc10_ms10
cs.LG,10746,30,False,15,5,5,89,29.21,cs.LG_mcs30_nn15_nc5_ms5
cs.LG,10746,30,False,15,5,10,79,28.94,cs.LG_mcs30_nn15_nc5_ms10
cs.LG,10746,30,False,15,10,5,80,26.57,cs.LG_mcs30_nn15_nc10_ms5
cs.LG,10746,30,False,15,10,10,81,29.02,cs.LG_mcs30_nn15_nc10_ms10
cs.LG,10746,30,False,30,5,5,77,33.41,cs.LG_mcs30_nn30_nc5_ms5
cs.LG,10746,30,False,30,5,10,75,32.3,cs.LG_mcs30_nn30_nc5_ms10
cs.LG,10746,30,False,30,10,5,79,31.17,cs.LG_mcs30_nn30_nc10_ms5
cs.LG,10746,30,False,30,10,10,72,33.4,cs.LG_mcs30_nn30_nc10_ms10
cs.LG,10746,50,False,10,5,5,52,28.86,cs.LG_mcs50_nn10_nc5_ms5
cs.LG,10746,50,False,10,5,10,47,28.97,cs.LG_mcs50_nn10_nc5_ms10
cs.LG,10746,50,False,10,10,5,48,24.43,cs.LG_mcs50_nn10_nc10_ms5
cs.LG,10746,50,False,10,10,10,47,25.06,cs.LG_mcs50_nn10_nc10_ms10
cs.LG,10746,50,False,15,5,5,45,28.38,cs.LG_mcs50_nn15_nc5_ms5
cs.LG,10746,50,False,15,5,10,43,26.53,cs.LG_mcs50_nn15_nc5_ms10
cs.LG,10746,50,False,15,10,5,47,27.75,cs.LG_mcs50_nn15_nc10_ms5
cs.LG,10746,50,False,15,10,10,43,25.28,cs.LG_mcs50_nn15_nc10_ms10
cs.LG,10746,50,False,30,5,5,42,30.61,cs.LG_mcs50_nn30_nc5_ms5
